Company,Market Value,Revenue,Profits,Assets,Rank,Sector,Industry,Continent,Country,Headquarters,State,CEO,Forbes Webpage,Profits as % of Assets,Profits as % of Revenue,
Shin Kong Financial,4.212,14.814,0.3462,113.713,1005,Financials,Life & Health Insurance,Asia,Taiwan,Taiwan,,Jih-Chu Lee,http://www.forbes.com/companies/shin-kong-financial/,0.003044507,0.023369785,
Onex,7.22,25.348,-0.973,44.679,1006,Financials,Investment Services,North America,Canada,Canada,,Gerald Schwartz,http://www.forbes.com/companies/onex/,-0.021777569,-0.038385671,
Tata Steel,10.155,19.867,0.3031,26.672,1007,Materials,Iron & Steel,Asia,India,India,,Thachat Narendran,http://www.forbes.com/companies/tata-steel/,0.011363977,0.015256455,
Shimizu,7.933,13.709,0.7667,16.891,1008,Industrials,Construction Services,Asia,Japan,Japan,,Yoichi Miyamoto,http://www.forbes.com/companies/shimizu/,0.045391037,0.055926763,
Tohoku Electric Power,6.584,18.689,0.426,39.701,1009,Utilities,Electric Utilities,Asia,Japan,Japan,,Makoto Kaiwa,http://www.forbes.com/companies/tohoku-electric-power/,0.010730208,0.022794157,
NEC,7.244,25.664,0.4139,26.529,1010,Information Technology,Electronics,Asia,Japan,Japan,,Takashi Niino,http://www.forbes.com/companies/nec/,0.015601794,0.01612765,
CGI Group,17.226,8.736,0.814,9.59,1011,Information Technology,Computer Services,North America,Canada,Canada,,George Schindler,http://www.forbes.com/companies/cgi-group/,0.084880083,0.093177656,
Unipol Gruppo,3.681,16.112,-0.39,106.989,1012,Financials,Diversified Insurance,Europe,Italy,Italy,,Carlo Cimbri,http://www.forbes.com/companies/unipol-gruppo/,-0.003645235,-0.024205561,
Yes Bank,11.985,3.965,0.6567,47.906,1013,Financials,Regional Banks,Asia,India,India,,Rana Kapoor,http://www.forbes.com/companies/yes-bank/,0.013708095,0.165624212,
UBI Banca,5.834,5.306,0.7789,152.953,1014,Financials,Regional Banks,Europe,Italy,Italy,,Letizia Moratti,http://www.forbes.com/companies/ubi-banca/,0.005092414,0.14679608,
Agile Property Holdings,7.864,7.689,0.8985,25.086,1015,Financials,Real Estate,Asia,China,China,,Victor Massiah,http://www.forbes.com/companies/agile-property-holdings/,0.03581679,0.116855248,
Gemdale,8.075,5.321,1.0663,35.739,1016,Financials,Real Estate,Asia,China,China,,Ke Ling,http://www.forbes.com/companies/gemdale/,0.029835754,0.200394663,
Interactive Brokers Group,32.813,2.046,0.098,59.093,1017,Financials,Investment Services,North America,United States,Connecticut,Connecticut,Tom Peterffy,http://www.forbes.com/companies/interactive-brokers-group/,0.001658403,0.047898338,
Amphenol,26.52,7.318,0.6912,9.404,1018,Information Technology,Electronics,North America,United States,Connecticut,Connecticut,Richard Norwitt,http://www.forbes.com/companies/amphenol/,0.073500638,0.094452036,
Discovery Communications,16.817,7.589,-0.181,34.658,1019,Consumer Discretionary,Broadcasting & Cable,North America,United States,Maryland,Maryland,David Zaslav,http://www.forbes.com/companies/discovery-communications/,-0.005222459,-0.02385031,
Public Storage,36.867,2.693,1.4381,10.686,1020,Financials,Real Estate,North America,United States,California,California,Ronald Havner,http://www.forbes.com/companies/public-storage/,0.134577952,0.534014111,
Quanta Computer,6.878,33.566,0.4722,20.612,1020,Information Technology,Computer Hardware,Asia,Taiwan,Taiwan,,Tzu Liang,http://www.forbes.com/companies/quanta-computer/,0.022908985,0.014067807,
Air Canada,5.078,12.997,1.4842,14.714,1022,Industrials,Airline,North America,Canada,Canada,,Calin Rovinescu,http://www.forbes.com/companies/air-canada/,0.10086992,0.114195584,
AvalonBay Communities,22.995,2.187,0.7805,18.646,1023,Financials,Real Estate,North America,United States,Virginia,Virginia,Timothy Naughton,http://www.forbes.com/companies/avalonbay-communities/,0.041858844,0.356881573,
HAL Trust,14.799,9.081,0.4405,19.502,1024,Financials,Investment Services,,Monaco,Monaco,,Melchert Groot,http://www.forbes.com/companies/hal-trust/,0.022587427,0.048507874,
AerCap Holdings,7.974,4.961,1.0804,42.494,1025,Industrials,Other Transportation,Europe,Ireland,Ireland,,Aengus Kelly,http://www.forbes.com/companies/aercap-holdings/,0.025424766,0.217778674,
Pgnig Group,10.329,10.366,0.7999,13.872,1026,Energy,Oil & Gas Operations,Europe,Poland,Poland,,Piotr Wozniak,http://www.forbes.com/companies/pgnig-group/,0.057662918,0.077165734,
WW Grainger,16.584,10.65,0.6373,5.903,1027,Industrials,Electrical Equipment,North America,United States,Illinois,Illinois,Donald Macpherson,http://www.forbes.com/companies/ww-grainger/,0.107962053,0.059840376,
AGNC Investment,7.435,2.196,1.119,69.221,1028,Financials,Investment Services,North America,United States,Maryland,Maryland,Gary Kain,http://www.forbes.com/companies/agnc-investment/,0.016165614,0.509562842,
AntarChile,8.475,20.342,0.3985,22.729,1029,Financials,Investment Services,South America,Chile,Chile,,Andrés Bromley,http://www.forbes.com/companies/antarchile/,0.017532668,0.019590011,
Kuwait Finance House,10.931,3.418,0.6273,57.977,1029,Financials,Regional Banks,Asia,Kuwait,Kuwait,,Mazen Ali,http://www.forbes.com/companies/kuwait-finance-house/,0.010819808,0.183528379,
Concho Resources,22.763,2.921,1.132,14.381,1031,Energy,Oil & Gas Operations,North America,United States,Texas,Texas,Tim Leach,http://www.forbes.com/companies/concho-resources/,0.078714971,0.387538514,
GS Holdings,5.463,14.758,0.7274,20.748,1032,Energy,Oil & Gas Operations,Asia,South Korea,South Korea,,Chang-Soo Huh,http://www.forbes.com/companies/gs-holdings/,0.035058801,0.049288521,
Chongqing Changan Auto,7.239,12.014,0.921,17.033,1033,Consumer Discretionary,Auto & Truck Manufacturers,Asia,China,China,,Taek-Geun Jeong,http://www.forbes.com/companies/chongqing-changan-aut/,0.054071508,0.076660563,
Schroders,13.195,3.268,0.7637,30.421,1034,Financials,Investment Services,Europe,United Kingdom,United Kingdom,,Peter Harrison,http://www.forbes.com/companies/schroders/,0.025104369,0.23369033,
Bankinter,9.773,2.487,0.6005,87.678,1035,Financials,Regional Banks,Europe,Spain,Spain,,María Dancausa,http://www.forbes.com/companies/bankinter/,0.006848924,0.241455569,
Scor,7.611,15.873,0.3226,49.469,1035,Financials,Diversified Insurance,Europe,France,France,,Denis Kessler,http://www.forbes.com/companies/scor/,0.006521256,0.02032382,
JBS,6.715,51.109,0.189,32.768,1037,Consumer Staples,Food Processing,South America,Brazil,Brazil,,José Sobrinho,http://www.forbes.com/companies/jbs/,0.005767822,0.003697979,
Continental Resources,25.431,3.521,1.0229,14.378,1038,Energy,Oil & Gas Operations,North America,United States,Oklahoma,Oklahoma,Harold Hamm,http://www.forbes.com/companies/continental-resources/,0.071143414,0.290514059,
JSW Steel,11.622,10.141,0.65,14.054,1039,Materials,Iron & Steel,Asia,India,India,,Sajjan Jindal,http://www.forbes.com/companies/jsw-steel/,0.046250178,0.064096243,
Japan Exchange Group,10.213,1.09,0.4555,388.494,1040,Financials,Investment Services,Asia,Japan,Japan,,Seshagiri Metlapalli,http://www.forbes.com/companies/japan-exchange-group/,0.001172476,0.417889908,
Metro Group,5.074,41.911,0.4884,19.063,1041,Consumer Staples,Food Retail,Europe,Germany,Germany,,Olaf Koch,http://www.forbes.com/companies/metro-group/,0.025620312,0.011653265,
Guosen Securities,13.955,1.404,0.6448,32.558,1042,Financials,Investment Services,Asia,China,China,,Cheng He,http://www.forbes.com/companies/guosen-securities/,0.019804656,0.459259259,
Whirlpool,11.042,21.378,0.291,20.339,1042,Consumer Discretionary,Household Appliances,North America,United States,Michigan,Michigan,Marc Bitzer,http://www.forbes.com/companies/whirlpool/,0.014307488,0.013612125,
Kingfisher,8.658,15.151,0.6305,14.714,1044,Consumer Discretionary,Home Improvement Retail,Europe,United Kingdom,United Kingdom,,Véronique Laury-Deroubaix,http://www.forbes.com/companies/kingfisher/,0.042850347,0.041614415,
Cincinnati Financial,11.799,5.442,0.813,21.47,1045,Financials,Diversified Insurance,North America,United States,Ohio,Ohio,Steven Johnston,http://www.forbes.com/companies/cincinnati-financial/,0.037866791,0.149393605,
DaVita,11.581,13.431,0.3946,18.942,1045,Health Care,Healthcare Services,North America,United States,Colorado,Colorado,Kent Thiry,http://www.forbes.com/companies/davita/,0.020832014,0.029379793,
CDW,11.934,15.473,0.5924,7.028,1047,Information Technology,Software & Programming,North America,United States,Illinois,Illinois,Thomas Richards,http://www.forbes.com/companies/cdw/,0.084291406,0.038286047,
Bank Of Hangzhou,6.687,5.375,0.6733,127.97,1048,Financials,Regional Banks,Asia,China,China,,Zhen Chen,http://www.forbes.com/companies/bank-of-hangzhou/,0.005261389,0.125265116,
Kobe Steel,3.925,16.973,0.5701,22.12,1049,Materials,Iron & Steel,Asia,Japan,Japan,,Hiroya Kawasaki,http://www.forbes.com/companies/kobe-steel/,0.025773056,0.033588641,
General Growth Properties,19.781,2.35,0.6143,23.258,1050,Financials,Real Estate,North America,United States,Illinois,Illinois,Sandeep Mathrani,http://www.forbes.com/companies/general-growth-properties/,0.026412417,0.261404255,
Angang Steel,7.438,12.914,0.9302,14.646,1051,Materials,Iron & Steel,Asia,China,China,,Da Lin,http://www.forbes.com/companies/angang-steel/,0.063512222,0.072030355,
Leucadia National,8.462,12.152,0.015,49.001,1052,Industrials,Conglomerates,North America,United States,New York,New York,Rich Handler,http://www.forbes.com/companies/leucadia-national/,0.000306116,0.001234365,
Pembina Pipeline,17.432,4.488,0.7838,20.119,1053,Energy,Oil & Gas Operations,North America,Canada,Canada,,Mick Dilger,http://www.forbes.com/companies/pembina-pipeline/,0.038958199,0.174643494,
WR Berkley,9.358,7.706,0.592,24.588,1054,Financials,Property & Casualty Insurance,North America,United States,Connecticut,Connecticut,W. Berkley,http://www.forbes.com/companies/wr-berkley/,0.024076785,0.076823255,
Tenaris,23.019,5.967,0.5659,14.724,1055,Energy,Oil Services & Equipment,Europe,Luxembourg,Luxembourg,,Paolo Rocca,http://www.forbes.com/companies/tenaris/,0.038433849,0.094838277,
KT Corp,6.292,21.139,0.4257,28.584,1056,Telecommunication Services,Telecommunications services,Asia,South Korea,South Korea,,Chang-Gyu Hwang,http://www.forbes.com/companies/kt-corp/,0.014892947,0.020138133,
Conagra Brands,14.895,7.834,0.8901,10.463,1057,Consumer Staples,Food Processing,North America,United States,Nebraska,Nebraska,Sean Connolly,http://www.forbes.com/companies/conagra-brands/,0.085071203,0.113620117,
Expedia,17.103,10.379,0.3271,20.429,1058,Consumer Discretionary,Business & Personal Services,North America,United States,Washington,Washington,Mark Okerstrom,http://www.forbes.com/companies/expedia/,0.016011552,0.03151556,
Inner Mongolia Baotou Steel,14.537,8.417,0.3773,23.286,1058,Materials,Iron & Steel,Asia,China,China,,De Li,http://www.forbes.com/companies/inner-mongolia-baotou-steel/,0.016202869,0.044825947,
TCL Corp,7.041,16.79,0.4447,25.926,1060,Consumer Discretionary,Consumer Electronics,Asia,China,China,,Dong Li,http://www.forbes.com/companies/tcl-corp/,0.017152665,0.026486004,
CMS Energy,12.821,6.707,0.502,22.868,1061,Utilities,Electric Utilities,North America,United States,Michigan,Michigan,Patricia Poppe,http://www.forbes.com/companies/cms-energy/,0.021952073,0.074847175,
Dexia,0.016,11.063,-0.5211,217.27,1062,Financials,Major Banks,Europe,Belgium,Belgium,,Wouter Devriendt,http://www.forbes.com/companies/dexia/,-0.002398398,-0.047102956,
Legrand,21.114,6.227,0.8022,11.317,1063,Industrials,Electrical Equipment,Europe,France,France,,Benoît Coquart,http://www.forbes.com/companies/legrand/,0.07088451,0.12882608,
GKN,11.068,12.455,0.6478,11.988,1064,Consumer Discretionary,Auto & Truck Parts,Europe,United Kingdom,United Kingdom,,Anne Stevens,http://www.forbes.com/companies/gkn/,0.054037371,0.05201124,
Cosmo Energy Holdings,2.914,22.765,0.657,15.899,1065,Energy,Oil & Gas Operations,Asia,Japan,Japan,,Hiroshi Kiriyama,http://www.forbes.com/companies/cosmo-energy-holdings/,0.041323354,0.028860092,
Intact Financial,10.391,7.212,0.6102,21.634,1066,Financials,Property & Casualty Insurance,North America,Canada,Canada,,Charles Brindamour,http://www.forbes.com/companies/intact-financial/,0.028205602,0.084608985,
CJ Corporation,4.499,23.793,0.4102,27.393,1067,Consumer Staples,Food Processing,Asia,South Korea,South Korea,,Chae-Wook Lee,http://www.forbes.com/companies/cj-corporation/,0.014974629,0.017240365,
Shanghai Construction,5.131,21.904,0.3945,30.292,1068,Industrials,Construction Services,Asia,China,China,,Kyung-Shik Son,http://www.forbes.com/companies/shanghai-construction/,0.01302324,0.018010409,
MTN Group,18.382,9.981,0.3317,19.581,1069,Telecommunication Services,Telecommunications services,Africa,South Africa,South Africa,,Robert Shuter,http://www.forbes.com/companies/mtn-group/,0.016939891,0.033233143,
Investec,7.549,5.359,0.616,69.522,1070,Financials,Investment Services,Europe,United Kingdom,United Kingdom,,Fani Titi,http://www.forbes.com/companies/investec/,0.008860505,0.114946818,
Zhejiang Zheneng Electric Power,10.972,7.95,0.5994,17.778,1071,Utilities,Electric Utilities,Asia,China,China,,Wei Sun,http://www.forbes.com/companies/zhejiang-zheneng-electric-power/,0.033715829,0.075396226,
BDO Unibank,11.133,2.984,0.5537,53.617,1072,Financials,Regional Banks,Asia,Philippines,Philippines,,Nestor Tan,http://www.forbes.com/companies/bdo-unibank/,0.010326949,0.1855563,
Grupo Inbursa,10.356,4.483,0.9787,28.741,1073,Financials,Regional Banks,North America,Mexico,Mexico,,Javier Izquierdo,http://www.forbes.com/companies/grupo-inbursa/,0.034052399,0.218313629,
Lonza Group,19.742,5.187,0.7396,14.613,1074,Materials,Specialized Chemicals,Europe,Switzerland,Switzerland,,Richard Ridinger,http://www.forbes.com/companies/lonza-group/,0.050612468,0.142587237,
Torchmark,9.711,4.202,1.4942,23.182,1075,Financials,Life & Health Insurance,North America,United States,Texas,Texas,Gary Coleman,http://www.forbes.com/companies/torchmark/,0.064455181,0.355592575,
Grasim Industries,10.744,7.491,0.4197,31.592,1076,Materials,Construction Materials,Asia,India,India,,Larry Hutchison,http://www.forbes.com/companies/grasim-industries/,0.013285009,0.056027233,
Campbell Soup,12.23,7.858,1.054,8.336,1077,Consumer Staples,Food Processing,North America,United States,New Jersey,New Jersey,Denise Morrison,http://www.forbes.com/companies/campbell-soup/,0.126439539,0.134130822,
Krung Thai Bank,7.638,4.818,0.6259,92.341,1078,Financials,Regional Banks,Asia,Thailand,Thailand,,Krairit Euchukanonchai,http://www.forbes.com/companies/krung-thai-bank/,0.006778138,0.129908676,
Renesas Electronics,16.737,7.126,0.8271,9.555,1079,Information Technology,Semiconductors,Asia,Japan,Japan,,Bunsei Kure,http://www.forbes.com/companies/renesas-electronics/,0.086562009,0.11606792,
Lenovo Group,5.832,44.302,-0.1157,29.499,1080,Information Technology,Computer Hardware,Asia,Hong Kong,Hong Kong,,Yuan Yang,http://www.forbes.com/companies/lenovo-group/,-0.003922167,-0.00261162,
L Brands,9.014,12.633,0.9831,8.149,1081,Consumer Discretionary,Apparel/Footwear Retail,North America,United States,Ohio,Ohio,Leslie Wexner,http://www.forbes.com/companies/l-brands/,0.120640569,0.077819995,
Ventas,19.066,3.634,0.563,23.494,1082,Financials,Real Estate,North America,United States,Illinois,Illinois,Debra Cafaro,http://www.forbes.com/companies/ventas/,0.023963565,0.154925702,
Advanced Semiconductor,11.223,9.633,0.7512,12.24,1083,Information Technology,Semiconductors,Asia,Taiwan,Taiwan,,Hung Pen Chang,http://www.forbes.com/companies/advanced-semiconductor/,0.061372549,0.077981937,
GD Power Development,8.934,9.11,0.3626,44.384,1084,Utilities,Electric Utilities,Asia,China,China,,Shu Feng,http://www.forbes.com/companies/gd-power-development/,0.008169611,0.039802415,
C.H. Robinson,12.036,15.38,0.5251,4.308,1085,Industrials,Other Transportation,North America,United States,Minnesota,Minnesota,John Wiehoff,http://www.forbes.com/companies/ch-robinson/,0.121889508,0.034141743,
Arthur J. Gallagher,12.529,6.545,0.6811,16.128,1086,Financials,Insurance Brokers,North America,United States,Illinois,Illinois,Patrick Gallagher Jr.,http://www.forbes.com/companies/arthur-j-gallagher/,0.042230903,0.104064171,
Sojitz,4.804,16.389,0.5129,22.1,1086,Industrials,Trading Companies,Asia,Japan,Japan,,Yoji Sato,http://www.forbes.com/companies/sojitz/,0.023208145,0.031295381,
Korean Air,3.06,10.696,0.7001,23.024,1088,Industrials,Airline,Asia,South Korea,South Korea,,Won-Tae Cho,http://www.forbes.com/companies/korean-air/,0.030407401,0.065454375,
Steel Dynamics,11.379,9.774,0.8395,6.973,1089,Materials,Iron & Steel,North America,United States,Indiana,Indiana,Mark Millett,http://www.forbes.com/companies/steel-dynamics/,0.120392944,0.08589114,
Jiangsu Yanghe Brewery,30.927,2.914,1.1104,7.051,1090,Consumer Staples,Beverages,Asia,China,China,,Gi-Hong Woo,http://www.forbes.com/companies/jiangsu-yanghe-brewery/,0.157481208,0.381056966,
Universal Health,11.174,10.484,0.7697,11.024,1090,Health Care,Healthcare Services,North America,United States,Pennsylvania,Pennsylvania,Alan Miller,http://www.forbes.com/companies/universal-health/,0.069820392,0.073416635,
Guangzhou Rural Commercial Bank,6.56,4.583,0.8463,95.108,1092,Financials,Regional Banks,Asia,China,China,,Ji Wang,http://www.forbes.com/companies/guangzhou-rural-commercial-bank/,0.008898305,0.184660703,
Pegatron,5.885,39.241,0.4826,16.407,1093,Information Technology,Electronics,Asia,Taiwan,Taiwan,,Syh-Jang Liao,http://www.forbes.com/companies/pegatron/,0.029414274,0.012298361,
RiseSun Real Estate Development,7.187,5.881,0.8907,31.426,1093,Industrials,Construction Services,Asia,China,China,,Jian Geng,http://www.forbes.com/companies/risesun-real-estate-development/,0.028342773,0.151453834,
Helvetia Holding,5.888,9.844,0.4118,59.986,1095,Financials,Diversified Insurance,Europe,Switzerland,Switzerland,,Philipp Gmür,http://www.forbes.com/companies/helvetia-holding/,0.006864935,0.041832588,
Moody's,33.4,4.356,1.0279,9.014,1095,Consumer Discretionary,Business & Personal Services,North America,United States,New York,New York,Raymond McDaniel,http://www.forbes.com/companies/moodys/,0.114033725,0.23597337,
Celanese,14.679,6.52,1.023,9.78,1097,Materials,Diversified Chemicals,North America,United States,Texas,Texas,Mark Rohr,http://www.forbes.com/companies/celanese/,0.104601227,0.15690184,
UC Rusal,3.871,9.97,1.2228,16.013,1098,Materials,Aluminum,Europe,Cyprus,Cyprus,,Evgeny Nikitin,http://www.forbes.com/companies/uc-rusal/,0.076362955,0.122647944,
Newmont Mining,21.548,7.506,0.048,20.483,1099,Materials,Diversified Metals & Mining,North America,United States,Colorado,Colorado,Gary Goldberg,http://www.forbes.com/companies/newmont-mining/,0.002343407,0.006394884,
Carlsberg,17.425,9.372,0.1909,18.849,1100,Consumer Staples,Beverages,Europe,Denmark,Denmark,,Cees't Hart,http://www.forbes.com/companies/carlsberg/,0.010127858,0.020369185,
Kerry Group,18.739,7.228,0.6638,8.886,1101,Consumer Staples,Food Processing,Europe,Ireland,Ireland,,Edmond Scanlon,http://www.forbes.com/companies/kerry-group/,0.074701778,0.091837299,
Concordia Financial Group,7.252,2.898,0.5992,175.464,1102,Financials,Regional Banks,Asia,Japan,Japan,,,http://www.forbes.com/companies/concordia-financial-group/,0.003414946,0.206763285,
Markel,16.088,6.344,0.2476,32.866,1102,Financials,Diversified Insurance,North America,United States,Virginia,Virginia,Thomas Gayner,http://www.forbes.com/companies/markel/,0.007533621,0.039029004,
Symantec,12.132,4.846,1.163,15.761,1104,Information Technology,Software & Programming,North America,United States,California,California,Greg Clark,http://www.forbes.com/companies/symantec/,0.073789734,0.239991746,
Aeroports de Paris,21.829,4.08,0.6441,17.143,1105,Industrials,Other Transportation,Europe,France,France,,Augustin de Romanet de Beaune,http://www.forbes.com/companies/aeroports-de-paris/,0.037572187,0.157867647,
Bank Pekao,8.802,2.328,0.6558,53.374,1106,Financials,Regional Banks,Europe,Poland,Poland,,Michal Krupinski,http://www.forbes.com/companies/bank-pekao/,0.012286881,0.281701031,
Intuitive Surgical,53.062,3.302,0.7675,6.426,1107,Health Care,Medical Equipment & Supplies,North America,United States,California,California,Gary Guthart,http://www.forbes.com/companies/intuitive-surgical/,0.119436664,0.232434888,
Hainan Airlines,,9.381,0.5827,29.643,1108,Industrials,Airline,Asia,China,China,,Jian Sun,http://www.forbes.com/companies/hainan-airlines/,0.019657255,0.062114913,
BAIC Motor,7.842,19.858,0.3342,25.707,1109,Consumer Discretionary,Auto & Truck Manufacturers,Asia,China,China,,Shao Wang,http://www.forbes.com/companies/baic-motor/,0.01300035,0.016829489,
Quest Diagnostics,13.921,7.694,0.782,10.695,1110,Health Care,Healthcare Services,North America,United States,New Jersey,New Jersey,Stephen Rusckowski,http://www.forbes.com/companies/quest-diagnostics/,0.07311828,0.10163764,
KPN,12.703,7.328,0.5448,16.247,1111,Telecommunication Services,Telecommunications services,Europe,Netherlands,Netherlands,,Maximo Ibarra,http://www.forbes.com/companies/kpn/,0.033532344,0.074344978,
Aramark,9.356,15.152,0.4983,13.733,1112,Consumer Discretionary,Restaurants,North America,United States,Pennsylvania,Pennsylvania,Eric Foss,http://www.forbes.com/companies/aramark/,0.036284861,0.032886748,
Arch Capital Group,10.815,5.443,0.5071,32.132,1113,Financials,Property & Casualty Insurance,North America,Bermuda,Bermuda,,Marc Grandisson,http://www.forbes.com/companies/arch-capital-group/,0.015781775,0.093165534,
DSV,14.934,11.787,0.4842,6.356,1113,Industrials,Trucking,Europe,Denmark,Denmark,,Jens Andersen,http://www.forbes.com/companies/dsv/,0.076179987,0.041079155,
Hankyu Hanshin Holdings,9.699,6.603,0.6354,21.199,1115,Industrials,Railroads,Asia,Japan,Japan,,Kazuo Sumi,http://www.forbes.com/companies/hankyu-hanshin-holdings/,0.029973112,0.096228987,
AU Optronics,4.091,11.21,1.0637,14.834,1116,Information Technology,Electronics,Asia,Taiwan,Taiwan,,Shuang Peng,http://www.forbes.com/companies/au-optronics/,0.07170689,0.094888492,
Origin Energy,13.074,11.364,-0.7566,19.868,1116,Utilities,Electric Utilities,Australia,Australia,Australia,,Frank Calabria,http://www.forbes.com/companies/origin-energy/,-0.038081337,-0.066578669,
Tokyo Century,7.153,9.133,0.4631,35.35,1118,Financials,Rental & Leasing,Asia,Japan,Japan,,Toshihito Tamba,http://www.forbes.com/companies/tokyo-century/,0.013100424,0.05070623,
Singapore Airlines,9.874,11.234,0.4149,20.085,1119,Industrials,Airline,Asia,Singapore,Singapore,,Choon Goh,http://www.forbes.com/companies/singapore-airlines/,0.020657207,0.036932526,
Eletrobrás,7.135,11.898,-0.5526,52.147,1120,Utilities,Electric Utilities,South America,Brazil,Brazil,,Wilson Ferreira Jr.,http://www.forbes.com/companies/eletrobras/,-0.010596966,-0.046444781,
Dubai Islamic Bank,6.593,2.804,1.086,57.47,1121,Financials,Regional Banks,Asia,United Arab Emirates,United Arab Emirates,,Adnan Chilwan,http://www.forbes.com/companies/dubai-islamic-bank/,0.018896816,0.387303852,
Grifols,18.667,5.001,0.785,13.375,1122,Health Care,Biotechs,Europe,Spain,Spain,,Victor Deu,http://www.forbes.com/companies/grifols/,0.058691589,0.156968606,
Arab National Bank,7.975,2.066,0.8071,45.783,1123,Financials,Regional Banks,Asia,Saudi Arabia,Saudi Arabia,,Raimon Roura,http://www.forbes.com/companies/arab-national-bank/,0.017628814,0.390658277,
Attijariwafa Bank,10.035,3.719,0.5554,50.891,1123,Financials,Regional Banks,Africa,Morocco,Morocco,,Mohamed Kettani,http://www.forbes.com/companies/attijariwafa-bank/,0.010913521,0.149341221,
Thai Beverage,15.232,5.563,0.8736,12.569,1123,Consumer Staples,Beverages,Asia,Thailand,Thailand,,Thapana Sirivadhanabhakdi,http://www.forbes.com/companies/thai-beverage/,0.069504336,0.15703757,
Qantas Airways,7.65,12.517,0.7236,14,1126,Industrials,Airline,Australia,Australia,Australia,,Alan Joyce,http://www.forbes.com/companies/qantas-airways/,0.051685714,0.057809379,
XPO Logistics,13.159,16.033,0.3633,12.961,1127,Industrials,Trucking,North America,United States,Connecticut,Connecticut,Bradley Jacobs,http://www.forbes.com/companies/xpo-logistics/,0.028030245,0.022659515,
Air France-KLM,3.778,29.08,-0.3091,29.309,1128,Industrials,Airline,Europe,France,France,,Frédéric Gagey,http://www.forbes.com/companies/air-france-klm/,-0.010546249,-0.010629298,
Saputo,12.965,8.874,0.6832,6.383,1129,Consumer Staples,Food Processing,North America,Canada,Canada,,Lino Saputo Jr.,http://www.forbes.com/companies/saputo/,0.10703431,0.076988957,
BCI-Banco Credito,9.209,3.195,0.5723,55.097,1130,Financials,Major Banks,South America,Chile,Chile,,Eugenio Chrismar,http://www.forbes.com/companies/bci-banco-credito/,0.010387135,0.179123631,
Sika,20.643,6.348,0.6538,5.944,1131,Materials,Construction Materials,Europe,Switzerland,Switzerland,,Paul Schuler,http://www.forbes.com/companies/sika/,0.109993271,0.102993069,
Mondi,13.148,8.008,0.7568,8.657,1132,Materials,Paper & Paper Products,Europe,United Kingdom,United Kingdom,,Peter Oswald,http://www.forbes.com/companies/mondi/,0.087420584,0.094505495,
Mitsubishi UFJ Lease,6.052,7.747,0.4892,49.438,1133,Financials,Rental & Leasing,Asia,Japan,Japan,,David Williams,http://www.forbes.com/companies/mitsubishi-ufj-lease/,0.009895222,0.063147025,
Korea Gas,4.622,19.613,-1.0671,34.692,1134,Utilities,Natural Gas Utilities,Asia,South Korea,South Korea,,Won-Gi Ahn,http://www.forbes.com/companies/korea-gas/,-0.030759253,-0.054407791,
Bombardier,7.82,16.672,-0.4612,26.726,1135,Industrials,Aerospace & Defense,North America,Canada,Canada,,Alain Bellemare,http://www.forbes.com/companies/bombardier/,-0.017256604,-0.027663148,
Brighthouse Financial,5.762,8.44,-0.096,218.997,1135,Financials,Life & Health Insurance,North America,United States,North Carolina,North Carolina,Eric Steigerwalt,http://www.forbes.com/companies/brighthouse-financial/,-0.000438362,-0.011374408,
Cheniere Energy,15.199,6.667,-0.09,28.341,1137,Energy,Oil & Gas Operations,North America,United States,Texas,Texas,Jack Fusco,http://www.forbes.com/companies/cheniere-energy/,-0.003175611,-0.013499325,
Hyundai Marine & Fire,3.182,11.673,0.411,36.875,1137,Financials,Property & Casualty Insurance,Asia,South Korea,South Korea,,Cheol-Young Lee,http://www.forbes.com/companies/hyundai-marine-fire/,0.011145763,0.035209458,
Power Assets Holdings,16.137,0.182,1.0675,13.688,1137,Utilities,Electric Utilities,Asia,Hong Kong,Hong Kong,,Chan-Jong Park,http://www.forbes.com/companies/power-assets-holdings/,0.077988019,5.865384615,
Yara International,11.417,11.452,0.3896,16.672,1140,Materials,Specialized Chemicals,Europe,Norway,Norway,,Svein Holsether,http://www.forbes.com/companies/yara-international/,0.023368522,0.034020258,
Datang International Power,8.623,9.946,0.245,39.973,1141,Utilities,Electric Utilities,Asia,China,China,,Jin Chen,http://www.forbes.com/companies/datang-international-power/,0.006129137,0.024633018,
AES,8.129,12.474,0.158,32.573,1142,Utilities,Electric Utilities,North America,United States,Virginia,Virginia,Andrés Ricardo Weilert,http://www.forbes.com/companies/aes/,0.004850643,0.012666346,
Cintas,19.627,6.337,0.6599,6.929,1143,Consumer Discretionary,Business & Personal Services,North America,United States,Ohio,Ohio,Scott Farmer,http://www.forbes.com/companies/cintas/,0.095237408,0.104134448,
Ajinomoto,10.441,10.378,0.5509,13.407,1144,Consumer Staples,Food Processing,Asia,Japan,Japan,,Takaaki Nishii,http://www.forbes.com/companies/ajinomoto/,0.041090475,0.053083446,
RTL Group,13.024,7.188,0.8335,9.604,1145,Consumer Discretionary,Broadcasting & Cable,Europe,Luxembourg,Luxembourg,,Bert Habets,http://www.forbes.com/companies/rtl-group/,0.086786756,0.115957151,
